ObjectID,Speed,Heading,Elevation,Aleket_cnt
74.0,4.296,165.0,40.2,3
75.0,4.296,162.0,39.7,3
76.0,0.129,179.0,39.4,3
77.0,0.407,153.0,39.1,3
78.0,3.389,170.0,38.6,3
79.0,5.352,175.0,38.2,3
80.0,1.463,154.0,37.9,3
81.0,0.592,153.0,37.5,3
82.0,0.648,162.0,37.1,3
83.0,0.314,202.0,36.7,3
84.0,0.407,145.0,36.3,2
85.0,0.407,153.0,35.6,2
86.0,0.351,183.0,35.1,2
87.0,0.462,160.0,34.6,3
88.0,0.166,171.0,34.1,3
89.0,0.24,187.0,33.4,3
90.0,0.111,24.0,32.8,3
91.0,0.351,172.0,32.2,2
92.0,0.037,312.0,31.5,2
93.0,0.166,161.0,30.9,2
94.0,0.462,182.0,30.4,2
95.0,0.111,171.0,29.9,2
96.0,0.314,150.0,29.3,1
97.0,0.314,168.0,28.9,1
98.0,0.055,162.0,28.6,1
99.0,0.129,223.0,28.1,2
100.0,0.203,184.0,28.0,2
101.0,0.425,123.0,27.7,2
102.0,3.518,173.0,27.3,2
103.0,0.148,294.0,27.2,2
104.0,1.018,204.0,26.9,3
105.0,0.796,181.0,26.5,3
106.0,0.018,351.0,26.3,2
107.0,0.074,201.0,26.4,2
108.0,0.203,163.0,26.0,3
109.0,0.222,163.0,25.8,3
110.0,0.333,182.0,25.6,3
111.0,0.425,184.0,25.2,2
