OBJECTID,Od,Aleket,Commends,X,Y
375,1345.000000000000000,1.000000000000000, ,236182.099999999630000,720754.919999999930000
376,1346.000000000000000,1.000000000000000, ,236194.750000000000000,720755.029999999330000
377,1347.000000000000000,1.000000000000000, ,236206.190000000410000,720755.009999999780000
378,1348.000000000000000,1.000000000000000, ,236218.400000000370000,720755.230000000450000
379,1349.000000000000000,1.000000000000000, ,236228.910000000150000,720755.220000000670000
380,1350.000000000000000,1.000000000000000, ,236239.500000000000000,720755.189999999480000
381,1351.000000000000000,1.000000000000000, ,236250.730000000450000,720755.160000000150000
382,1352.000000000000000,1.000000000000000, ,236262.400000000370000,720755.199999999250000
383,1353.000000000000000,1.000000000000000, ,236274.730000000450000,720755.519999999550000
384,1354.000000000000000,2.000000000000000, ,236286.500000000000000,720755.410000000150000
385,1355.000000000000000,2.000000000000000, ,236298.730000000450000,720755.560000000520000
386,1356.000000000000000,3.000000000000000, ,236311.160000000150000,720755.490000000220000
387,1357.000000000000000,3.000000000000000, ,236322.990000000220000,720756.119999999180000
388,1358.000000000000000,3.000000000000000, ,236334.700000000190000,720755.550000000750000
389,1359.000000000000000,3.000000000000000, ,236345.089999999850000,720755.269999999550000
390,1360.000000000000000,3.000000000000000, ,236355.650000000370000,720755.710000000890000
391,1361.000000000000000,3.000000000000000, ,236365.839999999850000,720755.490000000220000
392,1362.000000000000000,3.000000000000000, ,236380.049999999810000,720755.460000000890000
393,1363.000000000000000,3.000000000000000, ,236393.219999999740000,720755.490000000220000
394,1364.000000000000000,3.000000000000000, ,236403.769999999550000,720755.560000000520000
395,1365.000000000000000,3.000000000000000, ,236414.320000000300000,720755.439999999480000
396,1366.000000000000000,3.000000000000000, ,236425.870000000110000,720755.990000000220000
397,1367.000000000000000,2.000000000000000, ,236436.589999999850000,720755.900000000370000
398,1368.000000000000000,2.000000000000000,Only north side,236427.410000000150000,720732.789999999110000
399,1369.000000000000000,2.000000000000000,Only north side,236416.330000000070000,720732.419999999930000
400,1370.000000000000000,2.000000000000000,Only north side,236404.259999999780000,720731.650000000370000
401,1371.000000000000000,2.000000000000000, ,236386.150000000370000,720732.470000000670000
402,1372.000000000000000,2.000000000000000, ,236375.889999999660000,720732.070000000300000
403,1373.000000000000000,2.000000000000000, ,236365.879999999890000,720732.509999999780000
404,1374.000000000000000,2.000000000000000, ,236353.799999999810000,720732.640000000600000
405,1375.000000000000000,2.000000000000000, ,236344.009999999780000,720732.560000000520000
406,1376.000000000000000,2.000000000000000, ,236332.580000000070000,720732.109999999400000
407,1377.000000000000000,2.000000000000000, ,236322.679999999700000,720732.339999999850000
408,1378.000000000000000,2.000000000000000, ,236310.030000000260000,720732.339999999850000
409,1379.000000000000000,2.000000000000000, ,236298.480000000450000,720732.449999999250000
410,1380.000000000000000,2.000000000000000, ,236287.040000000040000,720732.560000000520000
411,1381.000000000000000,2.000000000000000, ,236276.150000000370000,720732.339999999850000
412,1382.000000000000000,2.000000000000000, ,236264.040000000040000,720732.150000000370000
413,1383.000000000000000,1.000000000000000, ,236251.929999999700000,720732.109999999400000
414,1384.000000000000000,1.000000000000000, ,236241.129999999890000,720731.849999999630000
415,1385.000000000000000,1.000000000000000, ,236228.620000000110000,720731.810000000520000
416,1386.000000000000000,1.000000000000000, ,236217.580000000070000,720731.750000000000000
417,1387.000000000000000,1.000000000000000, ,236207.349999999630000,720732.300000000750000
418,1388.000000000000000,1.000000000000000, ,236196.469999999740000,720731.740000000220000
419,1389.000000000000000,1.000000000000000, ,236185.910000000150000,720732.230000000450000
420,1390.000000000000000,1.000000000000000, ,236174.900000000370000,720732.230000000450000
421,1391.000000000000000,1.000000000000000, ,236164.349999999630000,720731.880000000820000
422,1392.000000000000000,1.000000000000000, ,236153.459999999960000,720731.990000000220000
423,1393.000000000000000,1.000000000000000, ,236141.570000000300000,720732.130000000820000
424,1394.000000000000000,1.000000000000000, ,236130.849999999630000,720731.960000000890000
